Epoch 0: TrainLoss=2.261148e+02, Pen=3.449350e-01, EvalMSE=6.735711e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.271134e+02, Pen=1.999349e-05, EvalMSE=7.163146e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=5.682552e+01, Pen=1.955485e-02, EvalMSE=6.221131e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=3.062905e+01, Pen=3.666021e-02, EvalMSE=4.999780e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.594478e+01, Pen=4.141096e-02, EvalMSE=3.851383e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.117449e+00, Pen=4.944205e-03, EvalMSE=2.078542e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.113501e+00, Pen=3.482875e-03, EvalMSE=1.715955e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=3.019152e+00, Pen=7.631995e-03, EvalMSE=1.147944e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.406626e+00, Pen=1.515824e-02, EvalMSE=8.915128e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.976352e+00, Pen=1.539826e-02, EvalMSE=8.084309e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.576856e+00, Pen=6.835605e-03, EvalMSE=6.697027e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.301192e+00, Pen=3.702665e-03, EvalMSE=6.543594e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.140861e+00, Pen=2.174445e-03, EvalMSE=7.933872e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.046400e+00, Pen=1.896710e-03, EvalMSE=8.619108e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.762642e-01, Pen=1.735102e-03, EvalMSE=9.043106e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=9.183572e-01, Pen=1.576964e-03, EvalMSE=9.333689e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=8.649650e-01, Pen=1.403639e-03, EvalMSE=9.551865e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.055180e-01, Pen=1.226146e-03, EvalMSE=9.723391e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.471701e-01, Pen=1.126303e-03, EvalMSE=9.817869e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=6.991240e-01, Pen=1.067129e-03, EvalMSE=9.838077e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=6.553577e-01, Pen=1.000140e-03, EvalMSE=9.887696e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.158502e-01, Pen=9.654118e-04, EvalMSE=9.893681e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=5.850725e-01, Pen=1.003077e-03, EvalMSE=1.011030e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
