Epoch 0: TrainLoss=6.308477e+00, Pen=6.098726e-01, EvalMSE=2.763406e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.246938e+00, Pen=4.846455e-01, EvalMSE=2.491453e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.037656e-01, Pen=1.729823e-01, EvalMSE=1.830703e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.890060e-01, Pen=4.451931e-02, EvalMSE=1.408388e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.450549e-01, Pen=1.322118e-02, EvalMSE=1.130061e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.104006e-01, Pen=7.791386e-03, EvalMSE=9.719997e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.388808e-02, Pen=7.435625e-03, EvalMSE=8.646777e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.819986e-02, Pen=7.910084e-03, EvalMSE=7.967312e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.710801e-02, Pen=8.405637e-03, EvalMSE=7.615051e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.209254e-02, Pen=8.649539e-03, EvalMSE=7.449165e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=9.275618e-03, Pen=8.744779e-03, EvalMSE=7.340825e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=7.420595e-03, Pen=8.790256e-03, EvalMSE=7.245186e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=6.104963e-03, Pen=8.824549e-03, EvalMSE=7.159875e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.128569e-03, Pen=8.857513e-03, EvalMSE=7.088053e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.376377e-03, Pen=8.888911e-03, EvalMSE=7.029654e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.777303e-03, Pen=8.916588e-03, EvalMSE=6.982133e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.286489e-03, Pen=8.938835e-03, EvalMSE=6.942585e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.875470e-03, Pen=8.954288e-03, EvalMSE=6.908817e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.526062e-03, Pen=8.962030e-03, EvalMSE=6.879548e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.227044e-03, Pen=8.962061e-03, EvalMSE=6.854238e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.102235e-03, Pen=8.784997e-03, EvalMSE=6.843836e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.759288e-03, Pen=8.946296e-03, EvalMSE=6.814364e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.760082e-03, Pen=8.726297e-03, EvalMSE=6.828737e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.441134e-03, Pen=8.915916e-03, EvalMSE=6.786483e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.403579e-03, Pen=8.757839e-03, EvalMSE=6.777041e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.233857e-03, Pen=8.879784e-03, EvalMSE=6.765427e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.240148e-03, Pen=8.711614e-03, EvalMSE=6.764710e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.098097e-03, Pen=8.833991e-03, EvalMSE=6.749601e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.067741e-03, Pen=8.741797e-03, EvalMSE=6.767626e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.004864e-03, Pen=8.784238e-03, EvalMSE=6.737336e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=9.676124e-04, Pen=8.770060e-03, EvalMSE=6.730308e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=9.373253e-04, Pen=8.743048e-03, EvalMSE=6.726856e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=9.110822e-04, Pen=8.713734e-03, EvalMSE=6.723115e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=8.893621e-04, Pen=8.730243e-03, EvalMSE=6.718792e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=8.683248e-04, Pen=8.674051e-03, EvalMSE=6.716178e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 0: TrainLoss=6.300363e+00, Pen=8.270479e-01, EvalMSE=2.771823e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.165439e+00, Pen=4.022976e-01, EvalMSE=2.307370e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.066862e+00, Pen=2.561675e-01, EvalMSE=2.094515e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.816594e-01, Pen=1.927488e-01, EvalMSE=1.867587e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.193839e-01, Pen=1.594004e-01, EvalMSE=1.578112e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.002855e-01, Pen=7.232254e-02, EvalMSE=1.284161e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=2.033648e-01, Pen=1.492360e-02, EvalMSE=1.027449e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.183630e-01, Pen=8.228574e-03, EvalMSE=9.001420e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.202771e-02, Pen=7.854736e-03, EvalMSE=8.272225e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.004670e-02, Pen=7.687624e-03, EvalMSE=7.625590e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.469539e-02, Pen=8.031001e-03, EvalMSE=7.562776e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.732858e-02, Pen=8.376275e-03, EvalMSE=7.584653e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.271307e-02, Pen=8.603318e-03, EvalMSE=7.532580e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=9.574334e-03, Pen=8.707950e-03, EvalMSE=7.438041e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=7.063488e-03, Pen=8.721009e-03, EvalMSE=7.316622e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=4.596013e-03, Pen=8.711642e-03, EvalMSE=7.175141e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.306543e-03, Pen=8.760900e-03, EvalMSE=7.031919e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.686822e-03, Pen=8.839960e-03, EvalMSE=6.943396e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.284796e-03, Pen=8.935570e-03, EvalMSE=6.882840e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.001748e-03, Pen=8.995109e-03, EvalMSE=6.840119e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.792101e-03, Pen=9.029853e-03, EvalMSE=6.804448e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.631840e-03, Pen=9.032805e-03, EvalMSE=6.780145e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.499071e-03, Pen=9.052471e-03, EvalMSE=6.755031e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.516509e-03, Pen=8.872688e-03, EvalMSE=6.748899e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.299080e-03, Pen=9.042772e-03, EvalMSE=6.721083e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.219981e-03, Pen=9.034313e-03, EvalMSE=6.707737e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.151129e-03, Pen=9.053792e-03, EvalMSE=6.693915e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.091427e-03, Pen=9.014025e-03, EvalMSE=6.687166e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.052519e-03, Pen=9.090382e-03, EvalMSE=6.666744e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=9.906233e-04, Pen=8.996204e-03, EvalMSE=6.672221e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=9.484037e-04, Pen=8.983282e-03, EvalMSE=6.666783e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=9.185743e-04, Pen=8.935210e-03, EvalMSE=6.664546e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=8.757474e-04, Pen=8.965150e-03, EvalMSE=6.658462e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=8.432528e-04, Pen=8.972017e-03, EvalMSE=6.653165e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=8.155298e-04, Pen=8.950743e-03, EvalMSE=6.652751e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 0: TrainLoss=6.889428e+00, Pen=4.070024e-01, EvalMSE=2.750834e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.170505e+00, Pen=4.616124e-01, EvalMSE=2.402503e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.278100e-01, Pen=2.323549e-01, EvalMSE=1.935147e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.633595e-01, Pen=6.971205e-02, EvalMSE=1.367557e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.007131e-01, Pen=1.820339e-02, EvalMSE=9.926540e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 500: TrainLoss=8.474769e-02, Pen=9.162279e-03, EvalMSE=7.927521e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.004043e-02, Pen=8.234828e-03, EvalMSE=7.452555e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.173249e-02, Pen=8.169104e-03, EvalMSE=7.451726e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.341347e-02, Pen=8.144206e-03, EvalMSE=7.516013e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=9.744409e-03, Pen=8.256558e-03, EvalMSE=7.553507e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=7.670836e-03, Pen=8.345491e-03, EvalMSE=7.536420e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=6.298421e-03, Pen=8.430726e-03, EvalMSE=7.478929e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=5.331102e-03, Pen=8.539767e-03, EvalMSE=7.409027e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.630565e-03, Pen=8.652608e-03, EvalMSE=7.344902e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.097588e-03, Pen=8.748439e-03, EvalMSE=7.289465e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.668457e-03, Pen=8.826614e-03, EvalMSE=7.239875e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.307942e-03, Pen=8.894882e-03, EvalMSE=7.194203e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.998948e-03, Pen=8.958671e-03, EvalMSE=7.152661e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.734542e-03, Pen=9.015921e-03, EvalMSE=7.115545e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.509464e-03, Pen=9.061787e-03, EvalMSE=7.082010e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.317283e-03, Pen=9.096567e-03, EvalMSE=7.051478e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.150354e-03, Pen=9.123057e-03, EvalMSE=7.023162e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.004514e-03, Pen=9.136606e-03, EvalMSE=6.998361e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
