Epoch 500: TrainLoss=4.000881e-01, Pen=3.235986e-02, EvalMSE=1.164879e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=2.745884e-01, Pen=1.988620e-02, EvalMSE=1.041929e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.072123e-01, Pen=1.605305e-02, EvalMSE=9.245988e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.644508e-01, Pen=1.377883e-02, EvalMSE=8.379374e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.344254e-01, Pen=1.212608e-02, EvalMSE=7.865443e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.122086e-01, Pen=1.077225e-02, EvalMSE=7.580549e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=9.385268e-02, Pen=9.527654e-03, EvalMSE=7.387771e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=7.166245e-02, Pen=8.435649e-03, EvalMSE=7.014391e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.766900e-02, Pen=8.360522e-03, EvalMSE=6.824303e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.898969e-02, Pen=8.313998e-03, EvalMSE=6.757113e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=4.280730e-02, Pen=8.290153e-03, EvalMSE=6.725543e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.818291e-02, Pen=8.288168e-03, EvalMSE=6.716944e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=3.462183e-02, Pen=8.292601e-03, EvalMSE=6.719440e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=3.175849e-02, Pen=8.251646e-03, EvalMSE=6.722506e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.933127e-02, Pen=8.156809e-03, EvalMSE=6.724968e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.721684e-02, Pen=8.077398e-03, EvalMSE=6.730999e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.533043e-02, Pen=7.997373e-03, EvalMSE=6.737271e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.361618e-02, Pen=7.917191e-03, EvalMSE=6.742958e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.203867e-02, Pen=7.841824e-03, EvalMSE=6.747439e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.057130e-02, Pen=7.775745e-03, EvalMSE=6.749807e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.918940e-02, Pen=7.720536e-03, EvalMSE=6.748551e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.786606e-02, Pen=7.676539e-03, EvalMSE=6.741333e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.653307e-02, Pen=7.641480e-03, EvalMSE=6.723292e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.477800e-02, Pen=7.621398e-03, EvalMSE=6.677321e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.297428e-02, Pen=7.731464e-03, EvalMSE=6.606700e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.184819e-02, Pen=7.808296e-03, EvalMSE=6.559026e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.097911e-02, Pen=7.838020e-03, EvalMSE=6.529846e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.024284e-02, Pen=7.858376e-03, EvalMSE=6.509281e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
