Epoch 0: TrainLoss=4.454100e+01, Pen=1.197034e+00, EvalMSE=6.475444e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.621060e+01, Pen=2.883451e-02, EvalMSE=7.170208e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=7.463501e+00, Pen=2.067958e-01, EvalMSE=7.255449e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.401748e+00, Pen=3.759902e-01, EvalMSE=6.642058e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=4.509459e+00, Pen=3.302608e-01, EvalMSE=6.227267e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=3.887254e+00, Pen=2.681100e-01, EvalMSE=5.961806e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.342555e+00, Pen=2.311188e-01, EvalMSE=5.780109e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.871106e+00, Pen=2.219557e-01, EvalMSE=5.634485e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.436975e+00, Pen=2.177021e-01, EvalMSE=5.491191e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.048557e+00, Pen=2.165248e-01, EvalMSE=5.343788e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.746245e+00, Pen=2.133717e-01, EvalMSE=5.210206e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.516702e+00, Pen=2.071614e-01, EvalMSE=5.098081e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.344745e+00, Pen=1.997575e-01, EvalMSE=5.011082e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.218203e+00, Pen=1.932265e-01, EvalMSE=4.940826e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.107219e+00, Pen=1.882147e-01, EvalMSE=4.665706e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=8.926018e-01, Pen=1.524443e-01, EvalMSE=3.687978e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
