Epoch 0: TrainLoss=4.621464e+01, Pen=7.422500e-01, EvalMSE=2.624053e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.765179e+01, Pen=1.429874e-01, EvalMSE=4.349803e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.161231e+01, Pen=7.625353e-01, EvalMSE=4.532323e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.787731e+01, Pen=5.904820e-01, EvalMSE=3.876244e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.489884e+01, Pen=2.801649e-01, EvalMSE=2.993308e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.247320e+01, Pen=1.018223e-01, EvalMSE=1.973537e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.027171e+01, Pen=3.814428e-02, EvalMSE=1.406453e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 700: TrainLoss=8.719985e+00, Pen=2.217142e-02, EvalMSE=1.536572e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.606283e+00, Pen=1.384038e-02, EvalMSE=2.008746e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.747549e+00, Pen=8.683417e-03, EvalMSE=2.370795e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.842564e+00, Pen=7.580955e-03, EvalMSE=2.222101e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.071006e+00, Pen=7.138239e-03, EvalMSE=1.971626e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.479859e+00, Pen=5.433483e-03, EvalMSE=2.076808e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.997710e+00, Pen=3.676973e-03, EvalMSE=2.403237e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.674106e+00, Pen=2.470999e-03, EvalMSE=2.788943e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.421514e+00, Pen=1.573770e-03, EvalMSE=3.157491e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.163584e+00, Pen=4.767177e-04, EvalMSE=3.049272e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.866636e+00, Pen=3.788894e-04, EvalMSE=2.418370e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.646874e+00, Pen=1.838886e-04, EvalMSE=2.353090e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.423788e+00, Pen=1.491143e-04, EvalMSE=2.330837e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.311190e+00, Pen=1.634913e-04, EvalMSE=2.215109e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.209315e+00, Pen=1.715676e-04, EvalMSE=2.107165e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.111587e+00, Pen=1.631644e-04, EvalMSE=1.993538e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.030984e+00, Pen=1.757171e-04, EvalMSE=1.886534e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.960062e+00, Pen=1.989743e-04, EvalMSE=1.789072e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.871176e+00, Pen=2.133243e-04, EvalMSE=1.678288e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.807902e+00, Pen=2.468858e-04, EvalMSE=1.622932e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.753091e+00, Pen=2.885586e-04, EvalMSE=1.568132e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.702312e+00, Pen=3.390134e-04, EvalMSE=1.521434e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
