Epoch 0: TrainLoss=5.857925e+01, Pen=1.751050e+00, EvalMSE=6.814325e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.602952e+01, Pen=2.185020e-02, EvalMSE=6.330869e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.167616e+01, Pen=3.716196e-01, EvalMSE=5.472812e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.173849e+00, Pen=3.106561e-01, EvalMSE=5.081632e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.662896e+00, Pen=2.717907e-01, EvalMSE=4.919402e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.669390e+00, Pen=2.830451e-01, EvalMSE=4.801022e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.139742e+00, Pen=3.201340e-01, EvalMSE=4.664059e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=8.248268e-01, Pen=3.569345e-01, EvalMSE=4.539079e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.117988e-01, Pen=3.720365e-01, EvalMSE=4.377221e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.153233e-01, Pen=3.448597e-01, EvalMSE=3.914870e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.745317e-01, Pen=3.047017e-01, EvalMSE=3.568755e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.810414e-01, Pen=2.581233e-01, EvalMSE=3.414852e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.154040e-01, Pen=1.907959e-01, EvalMSE=3.046141e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=6.933109e-02, Pen=1.367943e-01, EvalMSE=2.639841e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.496957e-02, Pen=1.191105e-01, EvalMSE=2.497309e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
