Epoch 0: TrainLoss=2.494229e+02, Pen=2.031893e+00, EvalMSE=6.791389e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.512800e+02, Pen=1.743985e-06, EvalMSE=6.546562e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.606425e+01, Pen=4.666245e-04, EvalMSE=6.882393e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=3.780232e+01, Pen=6.440269e-03, EvalMSE=4.313279e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.120337e+01, Pen=4.136399e-03, EvalMSE=2.840545e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.278596e+01, Pen=1.565237e-03, EvalMSE=2.563347e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.513799e+00, Pen=5.915212e-04, EvalMSE=2.238199e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=3.016947e+00, Pen=2.005008e-04, EvalMSE=1.517578e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.088788e+00, Pen=1.514140e-04, EvalMSE=1.084302e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.675808e+00, Pen=1.853712e-04, EvalMSE=7.817080e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.401917e+00, Pen=1.665023e-04, EvalMSE=6.284012e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.196162e+00, Pen=1.427196e-04, EvalMSE=5.700919e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.042023e+00, Pen=1.308240e-04, EvalMSE=5.640528e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=9.187894e-01, Pen=1.219154e-04, EvalMSE=5.991411e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=8.124446e-01, Pen=1.177322e-04, EvalMSE=6.630747e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=7.245613e-01, Pen=1.270960e-04, EvalMSE=7.446096e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=6.526951e-01, Pen=1.446748e-04, EvalMSE=8.565654e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=5.949180e-01, Pen=1.699241e-04, EvalMSE=9.779385e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=5.489002e-01, Pen=1.998176e-04, EvalMSE=1.083468e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=5.115137e-01, Pen=2.305792e-04, EvalMSE=1.168537e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=4.795007e-01, Pen=2.599189e-04, EvalMSE=1.237581e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=4.502493e-01, Pen=2.851958e-04, EvalMSE=1.293437e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=4.231071e-01, Pen=2.989027e-04, EvalMSE=1.339596e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.989158e-01, Pen=2.996676e-04, EvalMSE=1.385005e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.777969e-01, Pen=3.023554e-04, EvalMSE=1.436317e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.591037e-01, Pen=3.102932e-04, EvalMSE=1.493800e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.422822e-01, Pen=3.209311e-04, EvalMSE=1.557073e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.269691e-01, Pen=3.327036e-04, EvalMSE=1.625999e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=3.129187e-01, Pen=3.450316e-04, EvalMSE=1.700567e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.999578e-01, Pen=3.580294e-04, EvalMSE=1.780701e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.879535e-01, Pen=3.723592e-04, EvalMSE=1.865852e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=2.767957e-01, Pen=3.890937e-04, EvalMSE=1.954806e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=2.663929e-01, Pen=4.097178e-04, EvalMSE=2.045789e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=2.566749e-01, Pen=4.361925e-04, EvalMSE=2.136943e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=2.475736e-01, Pen=4.706611e-04, EvalMSE=2.227200e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.340387e+02, Pen=2.582580e+00, EvalMSE=6.775958e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.385478e+02, Pen=1.217989e-05, EvalMSE=6.690374e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=6.791402e+01, Pen=4.637809e-03, EvalMSE=6.878349e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=3.436330e+01, Pen=2.348741e-02, EvalMSE=4.936581e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.207342e+01, Pen=1.721442e-02, EvalMSE=4.207683e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.853846e+01, Pen=1.010400e-02, EvalMSE=3.522220e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.656241e+01, Pen=2.881454e-03, EvalMSE=2.041087e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.377013e+00, Pen=1.040750e-04, EvalMSE=2.590345e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.259191e+00, Pen=4.555032e-04, EvalMSE=1.409363e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.305150e+00, Pen=1.162942e-03, EvalMSE=1.008351e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.799675e+00, Pen=2.020021e-03, EvalMSE=7.975868e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.523834e+00, Pen=2.810366e-03, EvalMSE=6.958314e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.338691e+00, Pen=3.558693e-03, EvalMSE=6.417918e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.201828e+00, Pen=4.290763e-03, EvalMSE=6.125053e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.093644e+00, Pen=5.041799e-03, EvalMSE=6.050433e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=9.985857e-01, Pen=5.950680e-03, EvalMSE=6.413839e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=8.788930e-01, Pen=6.451048e-03, EvalMSE=9.216342e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.063236e-01, Pen=6.096718e-03, EvalMSE=1.184752e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.530382e-01, Pen=6.274925e-03, EvalMSE=1.411157e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=7.104771e-01, Pen=6.556848e-03, EvalMSE=1.622247e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=6.748541e-01, Pen=6.904771e-03, EvalMSE=1.817394e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.432800e-01, Pen=7.311497e-03, EvalMSE=1.994376e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=6.143792e-01, Pen=7.725610e-03, EvalMSE=2.148090e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=5.882522e-01, Pen=8.005765e-03, EvalMSE=2.284733e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=5.631093e-01, Pen=8.175702e-03, EvalMSE=2.403576e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=5.402732e-01, Pen=8.173033e-03, EvalMSE=2.510877e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=5.197715e-01, Pen=8.021855e-03, EvalMSE=2.599484e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=5.010089e-01, Pen=7.803948e-03, EvalMSE=2.663640e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=4.835331e-01, Pen=7.551996e-03, EvalMSE=2.706067e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=4.674610e-01, Pen=7.281583e-03, EvalMSE=2.729508e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
