Epoch 0: TrainLoss=7.212852e+00, Pen=1.526107e+00, EvalMSE=2.773508e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.585518e+00, Pen=4.508694e-01, EvalMSE=2.781808e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.927226e+00, Pen=6.977184e-01, EvalMSE=2.662845e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.503026e+00, Pen=5.731556e-01, EvalMSE=2.323092e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.132205e+00, Pen=3.935412e-01, EvalMSE=1.944972e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.280895e-01, Pen=1.534540e-01, EvalMSE=1.519348e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.940661e-01, Pen=6.010919e-02, EvalMSE=1.364459e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=3.606700e-01, Pen=3.288471e-02, EvalMSE=1.195681e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.735290e-01, Pen=1.947341e-02, EvalMSE=1.034038e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.079381e-01, Pen=1.478213e-02, EvalMSE=8.965170e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.607578e-01, Pen=1.289034e-02, EvalMSE=7.968825e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.284613e-01, Pen=1.180408e-02, EvalMSE=7.296582e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.057119e-01, Pen=1.098165e-02, EvalMSE=6.865289e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=8.885431e-02, Pen=1.038466e-02, EvalMSE=6.581687e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
