Epoch 0: TrainLoss=2.635741e+01, Pen=2.952977e+00, EvalMSE=1.479412e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.698051e+01, Pen=1.690342e-01, EvalMSE=1.688022e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.451332e+01, Pen=5.198775e-01, EvalMSE=2.158126e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.221441e+01, Pen=6.235731e-01, EvalMSE=1.952533e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.017040e+01, Pen=4.839517e-01, EvalMSE=1.530290e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=8.067113e+00, Pen=2.200109e-01, EvalMSE=9.797586e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.362849e+00, Pen=1.267578e-01, EvalMSE=1.190395e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.437240e+00, Pen=1.076939e-01, EvalMSE=2.027547e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.851805e+00, Pen=1.022834e-01, EvalMSE=2.317662e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.436450e+00, Pen=9.783695e-02, EvalMSE=2.365317e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.141755e+00, Pen=9.109740e-02, EvalMSE=2.460018e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.875952e+00, Pen=8.516143e-02, EvalMSE=2.392466e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.609759e+00, Pen=7.271919e-02, EvalMSE=2.114427e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.417429e+00, Pen=5.493556e-02, EvalMSE=1.911692e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.053709e+00, Pen=3.392268e-02, EvalMSE=1.569101e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.660799e+00, Pen=5.849835e-03, EvalMSE=1.235016e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.460926e+00, Pen=3.483018e-03, EvalMSE=1.154455e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.212983e+00, Pen=2.448985e-03, EvalMSE=1.064584e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.021605e+00, Pen=1.835693e-03, EvalMSE=9.302236e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.879302e+00, Pen=1.387429e-03, EvalMSE=8.319398e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.766036e+00, Pen=1.091322e-03, EvalMSE=7.575389e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.660415e+00, Pen=8.913465e-04, EvalMSE=6.942981e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.572750e+00, Pen=8.049058e-04, EvalMSE=6.515691e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.498554e+00, Pen=7.578218e-04, EvalMSE=6.126862e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.432021e+00, Pen=7.214484e-04, EvalMSE=5.790203e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.366558e+00, Pen=7.155825e-04, EvalMSE=5.648895e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.303990e+00, Pen=7.908041e-04, EvalMSE=5.575153e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.252212e+00, Pen=8.097517e-04, EvalMSE=5.418019e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.208378e+00, Pen=8.279163e-04, EvalMSE=5.278335e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.170255e+00, Pen=8.378185e-04, EvalMSE=5.168850e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.136503e+00, Pen=8.450318e-04, EvalMSE=5.093857e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.106019e+00, Pen=8.561024e-04, EvalMSE=5.036225e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.077989e+00, Pen=8.756347e-04, EvalMSE=4.984279e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.031763e+00, Pen=9.060796e-04, EvalMSE=5.020249e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=9.829438e-01, Pen=9.056685e-04, EvalMSE=4.630493e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.749290e+01, Pen=6.824802e-01, EvalMSE=1.207201e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.862193e+01, Pen=4.489197e-01, EvalMSE=2.420617e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.551594e+01, Pen=1.374087e+00, EvalMSE=2.888903e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.234408e+01, Pen=7.598303e-01, EvalMSE=1.976762e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=9.477582e+00, Pen=3.730802e-01, EvalMSE=1.243970e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.493694e+00, Pen=2.190855e-01, EvalMSE=1.404359e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.308104e+00, Pen=1.613861e-01, EvalMSE=2.277047e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.566256e+00, Pen=1.221604e-01, EvalMSE=2.932245e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.932112e+00, Pen=7.364692e-02, EvalMSE=2.572467e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.466722e+00, Pen=4.506945e-02, EvalMSE=2.078733e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.027371e+00, Pen=3.276018e-02, EvalMSE=1.648232e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.704211e+00, Pen=2.677540e-02, EvalMSE=1.361685e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.473821e+00, Pen=2.302298e-02, EvalMSE=1.245957e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.294121e+00, Pen=2.127184e-02, EvalMSE=1.140017e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.145373e+00, Pen=2.066297e-02, EvalMSE=1.065786e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.005575e+00, Pen=2.132881e-02, EvalMSE=9.813101e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.887716e+00, Pen=2.164543e-02, EvalMSE=9.163099e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.703624e+00, Pen=1.423736e-02, EvalMSE=8.151494e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.350888e+00, Pen=3.566531e-03, EvalMSE=6.702243e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.210835e+00, Pen=2.988285e-03, EvalMSE=6.233539e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.087543e+00, Pen=2.414370e-03, EvalMSE=5.987554e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.963465e+00, Pen=1.914701e-03, EvalMSE=5.933808e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.798624e+00, Pen=7.318256e-04, EvalMSE=5.839845e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.717431e+00, Pen=6.550914e-04, EvalMSE=5.911243e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.640573e+00, Pen=5.987809e-04, EvalMSE=5.994848e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.511509e+00, Pen=5.402277e-04, EvalMSE=5.825141e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.444576e+00, Pen=5.362044e-04, EvalMSE=5.241143e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.343188e+00, Pen=5.269005e-04, EvalMSE=3.937131e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.256171e+00, Pen=5.289947e-04, EvalMSE=3.976652e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.188143e+00, Pen=5.387160e-04, EvalMSE=3.813857e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.128664e+00, Pen=5.462589e-04, EvalMSE=3.720481e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.049052e+00, Pen=5.381039e-04, EvalMSE=3.681162e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=9.959388e-01, Pen=5.476357e-04, EvalMSE=3.601769e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=9.559201e-01, Pen=5.553577e-04, EvalMSE=3.615502e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=9.171978e-01, Pen=5.569796e-04, EvalMSE=3.629124e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 0: TrainLoss=3.436049e+01, Pen=4.111877e+00, EvalMSE=1.240728e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.156163e+01, Pen=1.451891e-01, EvalMSE=1.753195e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.869044e+01, Pen=4.339254e-01, EvalMSE=2.260007e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.574021e+01, Pen=9.675192e-01, EvalMSE=2.305523e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.327518e+01, Pen=1.052067e+00, EvalMSE=1.925648e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.097163e+01, Pen=5.516009e-01, EvalMSE=1.376771e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=8.695251e+00, Pen=3.496257e-01, EvalMSE=1.000288e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.131934e+00, Pen=2.786157e-01, EvalMSE=1.020758e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
