Epoch 0: TrainLoss=5.179007e+01, Pen=2.482903e+00, EvalMSE=2.763021e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 100: TrainLoss=3.191768e+01, Pen=6.276576e-02, EvalMSE=2.784829e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.861198e+01, Pen=8.536033e-02, EvalMSE=2.264937e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.065999e+01, Pen=6.563208e-02, EvalMSE=2.024646e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.008215e+00, Pen=5.728615e-02, EvalMSE=1.868290e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.274228e+00, Pen=6.741932e-02, EvalMSE=1.646973e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.496361e+00, Pen=6.031738e-02, EvalMSE=1.471755e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.052073e+00, Pen=4.006503e-02, EvalMSE=1.330212e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.577705e+00, Pen=1.766857e-02, EvalMSE=1.324101e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.881593e+00, Pen=4.475722e-03, EvalMSE=1.417540e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.111232e+00, Pen=1.173806e-03, EvalMSE=1.285022e-04 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.453508e+00, Pen=8.529215e-04, EvalMSE=8.379081e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.120541e+00, Pen=1.377360e-03, EvalMSE=6.243481e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.296190e-01, Pen=1.769423e-03, EvalMSE=4.932130e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.598374e-01, Pen=2.076191e-03, EvalMSE=3.304625e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.194098e-01, Pen=2.157955e-03, EvalMSE=2.840479e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=9.903757e-02, Pen=2.342147e-03, EvalMSE=2.621647e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.740536e-02, Pen=2.412522e-03, EvalMSE=2.550609e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.895468e-02, Pen=2.396328e-03, EvalMSE=2.525538e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=7.220712e-02, Pen=2.356044e-03, EvalMSE=2.492437e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=6.665390e-02, Pen=2.326198e-03, EvalMSE=2.428856e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.200144e-02, Pen=2.290973e-03, EvalMSE=2.344658e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=5.806644e-02, Pen=2.256322e-03, EvalMSE=2.255299e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=5.472652e-02, Pen=2.222407e-03, EvalMSE=2.172888e-05 (h1=7, h_n=0.452792, lr=0.005, loss=mse)
