Epoch 0: TrainLoss=8.093042e+00, Pen=3.847593e+00, EvalMSE=6.781001e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.111338e+00, Pen=4.026833e-01, EvalMSE=5.826740e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 200: TrainLoss=3.541678e-01, Pen=4.865312e-01, EvalMSE=5.487806e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.138183e-01, Pen=4.300903e-01, EvalMSE=5.297337e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.156701e-01, Pen=3.949821e-01, EvalMSE=4.967205e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.010897e-02, Pen=3.602227e-01, EvalMSE=4.555161e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.434468e-02, Pen=3.087487e-01, EvalMSE=4.066765e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.861919e-02, Pen=2.872817e-01, EvalMSE=3.893310e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 800: TrainLoss=9.581205e-03, Pen=2.717459e-01, EvalMSE=3.791925e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.712389e-03, Pen=2.604097e-01, EvalMSE=3.713995e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.258372e-03, Pen=2.537852e-01, EvalMSE=3.660764e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.185529e-03, Pen=2.506513e-01, EvalMSE=3.629871e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=7.669976e-04, Pen=2.494735e-01, EvalMSE=3.614777e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.980556e-04, Pen=2.493214e-01, EvalMSE=3.609187e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=5.135980e-04, Pen=2.496634e-01, EvalMSE=3.608536e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=4.601001e-04, Pen=2.501878e-01, EvalMSE=3.609978e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=4.212701e-04, Pen=2.507270e-01, EvalMSE=3.611953e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=3.911581e-04, Pen=2.512084e-01, EvalMSE=3.613759e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=3.668254e-04, Pen=2.516114e-01, EvalMSE=3.615165e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=3.465301e-04, Pen=2.519376e-01, EvalMSE=3.616147e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=3.291626e-04, Pen=2.521951e-01, EvalMSE=3.616749e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=3.139824e-04, Pen=2.523936e-01, EvalMSE=3.617032e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=3.004815e-04, Pen=2.525425e-01, EvalMSE=3.617058e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.882996e-04, Pen=2.526501e-01, EvalMSE=3.616881e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.771776e-04, Pen=2.527238e-01, EvalMSE=3.616552e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.669235e-04, Pen=2.527702e-01, EvalMSE=3.616113e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.573972e-04, Pen=2.527945e-01, EvalMSE=3.615595e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.484923e-04, Pen=2.528014e-01, EvalMSE=3.615026e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.401283e-04, Pen=2.527951e-01, EvalMSE=3.614427e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.322473e-04, Pen=2.527783e-01, EvalMSE=3.613813e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.248005e-04, Pen=2.527537e-01, EvalMSE=3.613196e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
