Epoch 0: TrainLoss=2.205496e+02, Pen=6.495707e-01, EvalMSE=3.015093e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.349772e+02, Pen=5.411935e-03, EvalMSE=5.015437e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.027769e+02, Pen=3.512254e-03, EvalMSE=5.081413e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 300: TrainLoss=9.180085e+01, Pen=8.230235e-04, EvalMSE=3.612793e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 400: TrainLoss=8.523958e+01, Pen=3.767559e-04, EvalMSE=2.921139e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 500: TrainLoss=8.097380e+01, Pen=2.929975e-04, EvalMSE=2.679502e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 600: TrainLoss=7.775231e+01, Pen=2.687155e-04, EvalMSE=2.568382e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.540553e+01, Pen=2.592175e-04, EvalMSE=2.503452e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.357326e+01, Pen=2.579378e-04, EvalMSE=2.472974e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 900: TrainLoss=7.192838e+01, Pen=2.457977e-04, EvalMSE=2.471872e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=6.991428e+01, Pen=2.453335e-04, EvalMSE=2.706545e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=6.715678e+01, Pen=6.799649e-05, EvalMSE=2.641870e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=6.358111e+01, Pen=9.269590e-06, EvalMSE=2.967189e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.991846e+01, Pen=1.722549e-06, EvalMSE=3.604758e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=5.612458e+01, Pen=2.906273e-07, EvalMSE=4.537179e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=5.258781e+01, Pen=4.750367e-08, EvalMSE=5.629003e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=4.917146e+01, Pen=1.028481e-08, EvalMSE=6.636309e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=4.601619e+01, Pen=2.602694e-09, EvalMSE=7.679650e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=4.323731e+01, Pen=7.145760e-10, EvalMSE=8.669969e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=4.077329e+01, Pen=2.683624e-10, EvalMSE=9.555389e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=3.845680e+01, Pen=1.206947e-10, EvalMSE=1.027452e-03 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
