Epoch 0: TrainLoss=3.151478e+01, Pen=1.016847e+00, EvalMSE=1.223388e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.082759e+01, Pen=4.061990e-01, EvalMSE=2.337981e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.751079e+01, Pen=1.283283e+00, EvalMSE=2.736242e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.440711e+01, Pen=1.780004e+00, EvalMSE=2.552386e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.171600e+01, Pen=7.384259e-01, EvalMSE=1.736374e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=9.037939e+00, Pen=3.334944e-01, EvalMSE=1.129517e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=7.292369e+00, Pen=1.970279e-01, EvalMSE=1.224455e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.203552e+00, Pen=1.600125e-01, EvalMSE=1.819282e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=5.247407e+00, Pen=6.236653e-02, EvalMSE=2.679163e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.673858e+00, Pen=5.276364e-02, EvalMSE=2.754692e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.215712e+00, Pen=5.053140e-02, EvalMSE=2.423327e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.643096e+00, Pen=9.319610e-02, EvalMSE=1.808335e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.255009e+00, Pen=9.842191e-02, EvalMSE=1.544472e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.954253e+00, Pen=8.987419e-02, EvalMSE=1.415699e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.710660e+00, Pen=8.521851e-02, EvalMSE=1.303695e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.508075e+00, Pen=7.956535e-02, EvalMSE=1.202989e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.334901e+00, Pen=7.803962e-02, EvalMSE=1.106776e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.176153e+00, Pen=7.957456e-02, EvalMSE=1.015083e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
