SUMMARY: mixture=2, n=49, h1=23.000000000000004, h_n=3.6829475375170047, grid_mse=2.578806e-04, val_avg_nll=4.805699e+00
SUMMARY: mixture=2, n=51, h1=1.150000000000001, h_n=0.18183096545968197, grid_mse=4.881588e-04, val_avg_nll=7.430915e+00
SUMMARY: mixture=2, n=51, h1=1.257245200261008, h_n=0.19878792050696528, grid_mse=4.067972e-04, val_avg_nll=6.695942e+00
SUMMARY: mixture=2, n=51, h1=1.3734091310423555, h_n=0.21715505066832533, grid_mse=3.408050e-04, val_avg_nll=6.102688e+00
SUMMARY: mixture=2, n=51, h1=1.4991450951099068, h_n=0.2370356521808529, grid_mse=2.871125e-04, val_avg_nll=5.624211e+00
SUMMARY: mixture=2, n=51, h1=1.6351478914282995, h_n=0.2585395824067571, grid_mse=2.433172e-04, val_avg_nll=5.238795e+00
SUMMARY: mixture=2, n=51, h1=1.7821560542147592, h_n=0.281783613858858, grid_mse=2.075725e-04, val_avg_nll=4.929002e+00
SUMMARY: mixture=2, n=51, h1=1.94095419178203, h_n=0.3068918040041243, grid_mse=1.784552e-04, val_avg_nll=4.680795e+00
SUMMARY: mixture=2, n=51, h1=2.1123754286970224, h_n=0.33399588140285985, grid_mse=1.548362e-04, val_avg_nll=4.482755e+00
SUMMARY: mixture=2, n=51, h1=2.2973039548746566, h_n=0.36323564875582964, grid_mse=1.357840e-04, val_avg_nll=4.325448e+00
SUMMARY: mixture=2, n=51, h1=2.496677685320418, h_n=0.3947594034464828, grid_mse=1.205129e-04, val_avg_nll=4.200980e+00
SUMMARY: mixture=2, n=51, h1=2.7114910343313126, h_n=0.4287243761806381, grid_mse=1.083669e-04, val_avg_nll=4.102753e+00
SUMMARY: mixture=2, n=51, h1=2.9427978080621444, h_n=0.4652971883413696, grid_mse=9.881839e-05, val_avg_nll=4.025376e+00
SUMMARY: mixture=2, n=51, h1=3.1917142194635466, h_n=0.5046543286925664, grid_mse=9.146496e-05, val_avg_nll=3.964617e+00
SUMMARY: mixture=2, n=51, h1=3.459422029698712, h_n=0.5469826500805294, grid_mse=8.601561e-05, val_avg_nll=3.917317e+00
SUMMARY: mixture=2, n=51, h1=3.747171820248661, h_n=0.592479886799241, grid_mse=8.226806e-05, val_avg_nll=3.881225e+00
SUMMARY: mixture=2, n=51, h1=4.056286400019716, h_n=0.6413551933013583, grid_mse=8.008271e-05, val_avg_nll=3.854780e+00
SUMMARY: mixture=2, n=51, h1=4.388164351873201, h_n=0.6938297049537939, grid_mse=7.935810e-05, val_avg_nll=3.836892e+00
SUMMARY: mixture=2, n=51, h1=4.744283723104587, h_n=0.750137121553705, grid_mse=8.001040e-05, val_avg_nll=3.826767e+00
SUMMARY: mixture=2, n=51, h1=5.12620586450917, h_n=0.810524314338074, grid_mse=8.195793e-05, val_avg_nll=3.823791e+00
SUMMARY: mixture=2, n=51, h1=5.535579422781971, h_n=0.8752519572375599, grid_mse=8.511073e-05, val_avg_nll=3.827469e+00
SUMMARY: mixture=2, n=51, h1=5.9741444911130195, h_n=0.9445951831432345, grid_mse=8.936530e-05, val_avg_nll=3.837399e+00
SUMMARY: mixture=2, n=51, h1=6.443736922953225, h_n=1.0188442659728558, grid_mse=9.460449e-05, val_avg_nll=3.853258e+00
SUMMARY: mixture=2, n=51, h1=6.946292814043166, h_n=1.0983053293418423, grid_mse=1.007015e-04, val_avg_nll=3.874777e+00
SUMMARY: mixture=2, n=51, h1=7.483853157914672, h_n=1.1833010826627073, grid_mse=1.075270e-04, val_avg_nll=3.901711e+00
SUMMARY: mixture=2, n=51, h1=8.058568680195929, h_n=1.2741715855158082, grid_mse=1.149563e-04, val_avg_nll=3.933806e+00
SUMMARY: mixture=2, n=51, h1=8.672704857171905, h_n=1.3712750411534254, grid_mse=1.228772e-04, val_avg_nll=3.970767e+00
SUMMARY: mixture=2, n=51, h1=9.32864712417655, h_n=1.474988620018875, grid_mse=1.311932e-04, val_avg_nll=4.012262e+00
SUMMARY: mixture=2, n=51, h1=10.028906279517884, h_n=1.5857093141820888, grid_mse=1.398260e-04, val_avg_nll=4.057922e+00
SUMMARY: mixture=2, n=51, h1=10.77612408976554, h_n=1.703854823613394, grid_mse=1.487135e-04, val_avg_nll=4.107382e+00
SUMMARY: mixture=2, n=51, h1=11.573079102358838, h_n=1.8298644752375435, grid_mse=1.578064e-04, val_avg_nll=4.160304e+00
