Epoch 0: TrainLoss=2.216883e+02, Pen=5.172559e-01, EvalMSE=6.952155e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.202167e+02, Pen=6.122425e-03, EvalMSE=1.077284e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=6.279675e+01, Pen=2.070122e-02, EvalMSE=1.070989e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.495783e+01, Pen=3.342911e-02, EvalMSE=8.829631e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.880542e+01, Pen=3.337724e-02, EvalMSE=7.867495e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=3.540062e+01, Pen=3.034340e-02, EvalMSE=7.265833e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.300475e+01, Pen=2.724231e-02, EvalMSE=6.818362e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=3.050355e+01, Pen=2.437306e-02, EvalMSE=6.578364e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.865745e+01, Pen=2.205677e-02, EvalMSE=6.244521e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.690947e+01, Pen=1.981907e-02, EvalMSE=5.928730e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.525606e+01, Pen=1.806759e-02, EvalMSE=5.665577e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=2.304702e+01, Pen=1.673683e-02, EvalMSE=5.516439e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.139451e+01, Pen=1.533127e-02, EvalMSE=5.276831e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.988010e+01, Pen=1.350138e-02, EvalMSE=5.030579e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.859472e+01, Pen=1.249156e-02, EvalMSE=4.809141e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.745215e+01, Pen=1.254016e-02, EvalMSE=4.627342e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.648774e+01, Pen=1.297980e-02, EvalMSE=4.471453e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.566024e+01, Pen=1.371368e-02, EvalMSE=4.350789e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.494265e+01, Pen=1.465779e-02, EvalMSE=4.255402e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.432712e+01, Pen=1.571334e-02, EvalMSE=4.173151e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.375566e+01, Pen=1.680157e-02, EvalMSE=4.088378e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.289025e+01, Pen=1.767792e-02, EvalMSE=3.894776e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.221429e+01, Pen=1.055896e-02, EvalMSE=2.638814e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.034107e+01, Pen=1.050718e-04, EvalMSE=1.144248e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=9.423188e+00, Pen=9.574396e-05, EvalMSE=1.197532e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=8.666734e+00, Pen=9.248761e-05, EvalMSE=1.223913e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=8.005287e+00, Pen=8.671312e-05, EvalMSE=1.232581e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=7.407776e+00, Pen=7.916219e-05, EvalMSE=1.216061e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=6.900066e+00, Pen=7.658516e-05, EvalMSE=1.180880e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=6.462452e+00, Pen=7.440589e-05, EvalMSE=1.144314e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=6.075421e+00, Pen=7.314912e-05, EvalMSE=1.105684e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=5.724492e+00, Pen=7.332517e-05, EvalMSE=1.066716e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=5.408878e+00, Pen=7.448956e-05, EvalMSE=1.031612e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=5.081994e+00, Pen=7.631708e-05, EvalMSE=9.990794e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=4.735509e+00, Pen=8.049295e-05, EvalMSE=9.660891e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.380368e+02, Pen=1.186930e+00, EvalMSE=6.627948e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.413030e+02, Pen=5.213721e-04, EvalMSE=8.203900e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.170775e+01, Pen=2.710670e-03, EvalMSE=1.052335e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.904649e+01, Pen=1.854373e-03, EvalMSE=8.328322e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.116351e+01, Pen=1.449067e-03, EvalMSE=6.964645e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.784915e+01, Pen=1.274724e-03, EvalMSE=6.384720e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.582487e+01, Pen=1.291066e-03, EvalMSE=6.031607e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.427786e+01, Pen=1.355076e-03, EvalMSE=5.784333e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.312881e+01, Pen=1.410091e-03, EvalMSE=5.550620e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.215239e+01, Pen=1.415426e-03, EvalMSE=5.327681e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.094394e+01, Pen=1.361799e-03, EvalMSE=5.061812e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.984414e+01, Pen=1.232964e-03, EvalMSE=4.647540e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.850240e+01, Pen=9.394111e-04, EvalMSE=4.200049e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
