Epoch 0: TrainLoss=1.433726e+02, Pen=3.823598e-01, EvalMSE=1.275228e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.626846e+01, Pen=1.218299e-02, EvalMSE=4.248899e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.594387e+01, Pen=1.377737e-02, EvalMSE=5.412897e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.900320e+01, Pen=1.009995e-02, EvalMSE=4.564321e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.208331e+01, Pen=7.959243e-03, EvalMSE=3.949161e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.514886e+01, Pen=7.227622e-03, EvalMSE=3.468990e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.883797e+01, Pen=5.962704e-03, EvalMSE=2.967999e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.318680e+01, Pen=5.581848e-03, EvalMSE=2.656133e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.793628e+01, Pen=1.719590e-03, EvalMSE=2.218896e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.318762e+01, Pen=1.637031e-03, EvalMSE=2.232819e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.940629e+01, Pen=1.534138e-03, EvalMSE=2.100067e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.633057e+01, Pen=1.028362e-03, EvalMSE=2.144431e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.310569e+01, Pen=6.668243e-05, EvalMSE=2.364026e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.086847e+01, Pen=5.439098e-05, EvalMSE=2.470210e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.892161e+01, Pen=3.382036e-06, EvalMSE=2.631894e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.711111e+01, Pen=3.209688e-07, EvalMSE=2.675451e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.579399e+01, Pen=1.698760e-07, EvalMSE=2.627035e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.469781e+01, Pen=4.375799e-08, EvalMSE=2.556909e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.370309e+01, Pen=8.212864e-09, EvalMSE=2.476759e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.286028e+01, Pen=5.570192e-09, EvalMSE=2.405564e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.214731e+01, Pen=3.808262e-09, EvalMSE=2.351312e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.160581e+01, Pen=2.073622e-09, EvalMSE=2.292053e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.115997e+01, Pen=1.553297e-09, EvalMSE=2.235347e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.078656e+01, Pen=1.338394e-09, EvalMSE=2.178335e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.046349e+01, Pen=1.285402e-09, EvalMSE=2.117686e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.018269e+01, Pen=1.188484e-09, EvalMSE=2.055179e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.993503e+01, Pen=1.040000e-09, EvalMSE=1.991432e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.971304e+01, Pen=8.709852e-10, EvalMSE=1.926727e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.951117e+01, Pen=6.836356e-10, EvalMSE=1.861476e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.932524e+01, Pen=5.042093e-10, EvalMSE=1.796307e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.915200e+01, Pen=3.573980e-10, EvalMSE=1.731780e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.898407e+01, Pen=2.046606e-10, EvalMSE=1.667644e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.879890e+01, Pen=9.379373e-11, EvalMSE=1.595659e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.859194e+01, Pen=3.442391e-11, EvalMSE=1.512397e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.840534e+01, Pen=2.462055e-11, EvalMSE=1.449952e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 0: TrainLoss=1.407434e+02, Pen=1.439634e+00, EvalMSE=1.178817e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.408071e+01, Pen=9.123152e-03, EvalMSE=2.882571e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.312552e+01, Pen=9.625909e-03, EvalMSE=4.319988e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.775857e+01, Pen=5.610216e-03, EvalMSE=3.748659e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.167366e+01, Pen=3.845311e-03, EvalMSE=3.127546e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.527764e+01, Pen=2.709279e-03, EvalMSE=2.682863e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.876686e+01, Pen=2.110013e-03, EvalMSE=2.276488e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.229610e+01, Pen=7.043898e-04, EvalMSE=2.288070e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.668912e+01, Pen=8.092582e-04, EvalMSE=2.526733e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.210929e+01, Pen=8.686605e-04, EvalMSE=2.487632e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.820874e+01, Pen=8.549754e-04, EvalMSE=2.352402e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.529544e+01, Pen=7.088541e-04, EvalMSE=2.243541e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.311872e+01, Pen=5.704361e-04, EvalMSE=2.186403e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.146067e+01, Pen=4.449097e-04, EvalMSE=2.153198e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.011593e+01, Pen=3.029455e-04, EvalMSE=2.141427e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.836261e+01, Pen=2.771909e-05, EvalMSE=2.509636e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.708887e+01, Pen=2.090686e-05, EvalMSE=2.483868e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.620990e+01, Pen=1.644658e-05, EvalMSE=2.418940e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.554843e+01, Pen=1.053736e-05, EvalMSE=2.371725e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.499792e+01, Pen=5.973618e-06, EvalMSE=2.306283e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.451405e+01, Pen=3.141850e-06, EvalMSE=2.227034e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.402586e+01, Pen=1.077537e-06, EvalMSE=2.169619e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.357340e+01, Pen=3.378015e-07, EvalMSE=2.175660e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.319097e+01, Pen=1.364204e-07, EvalMSE=2.138295e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.282695e+01, Pen=5.538424e-08, EvalMSE=2.093521e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.246822e+01, Pen=2.349896e-08, EvalMSE=2.048589e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.211009e+01, Pen=1.074413e-08, EvalMSE=2.030393e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.170382e+01, Pen=6.440615e-09, EvalMSE=2.175051e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.135389e+01, Pen=4.725996e-09, EvalMSE=2.257048e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.103876e+01, Pen=3.981557e-09, EvalMSE=2.277785e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.074841e+01, Pen=3.663516e-09, EvalMSE=2.281124e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=2.048153e+01, Pen=3.439681e-09, EvalMSE=2.266409e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=2.023654e+01, Pen=3.115772e-09, EvalMSE=2.232130e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=2.000150e+01, Pen=1.635589e-09, EvalMSE=2.178870e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.973346e+01, Pen=3.856703e-10, EvalMSE=2.063933e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 0: TrainLoss=1.428931e+02, Pen=4.353246e-01, EvalMSE=1.374042e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.567535e+01, Pen=1.176807e-02, EvalMSE=4.009749e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.576869e+01, Pen=1.255103e-02, EvalMSE=4.014270e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.948034e+01, Pen=8.376334e-03, EvalMSE=3.570113e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.271580e+01, Pen=8.112059e-03, EvalMSE=3.278102e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.586577e+01, Pen=7.010623e-03, EvalMSE=2.862560e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.871058e+01, Pen=6.172184e-03, EvalMSE=2.565501e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.266089e+01, Pen=4.937710e-03, EvalMSE=2.377516e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.717779e+01, Pen=1.075865e-03, EvalMSE=1.745367e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.211189e+01, Pen=5.181708e-04, EvalMSE=2.100376e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.797874e+01, Pen=6.722400e-04, EvalMSE=2.217967e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.463938e+01, Pen=5.217555e-04, EvalMSE=2.185052e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.226089e+01, Pen=3.709277e-04, EvalMSE=2.130312e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.016699e+01, Pen=8.293514e-05, EvalMSE=2.205975e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.808937e+01, Pen=2.237301e-05, EvalMSE=2.532881e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.660044e+01, Pen=1.025363e-05, EvalMSE=2.607847e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.541786e+01, Pen=4.079257e-06, EvalMSE=2.624177e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.443559e+01, Pen=1.330870e-06, EvalMSE=2.605614e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.363954e+01, Pen=4.465681e-07, EvalMSE=2.556111e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.297562e+01, Pen=1.527092e-07, EvalMSE=2.476284e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.240327e+01, Pen=5.062514e-08, EvalMSE=2.379184e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
