Epoch 0: TrainLoss=2.151860e+01, Pen=4.067088e-01, EvalMSE=1.297622e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.326652e+01, Pen=3.231392e-01, EvalMSE=1.297275e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=7.753016e+00, Pen=1.747836e-01, EvalMSE=9.080324e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.045525e+00, Pen=2.070968e-01, EvalMSE=7.929735e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.684019e+00, Pen=3.316091e-02, EvalMSE=6.274026e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.406415e+00, Pen=7.718519e-03, EvalMSE=4.679806e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=8.406839e-01, Pen=1.833493e-03, EvalMSE=3.908495e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.679981e-01, Pen=1.160172e-03, EvalMSE=3.194055e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=5.616388e-01, Pen=7.666151e-04, EvalMSE=2.751685e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.883356e-01, Pen=5.848139e-04, EvalMSE=2.571445e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.364483e-01, Pen=5.154869e-04, EvalMSE=2.483198e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.001069e-01, Pen=5.181498e-04, EvalMSE=2.438258e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.684781e-01, Pen=5.557596e-04, EvalMSE=2.412481e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.393492e-01, Pen=6.050094e-04, EvalMSE=2.398165e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.136392e-01, Pen=6.314785e-04, EvalMSE=2.372980e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.888176e-01, Pen=6.482959e-04, EvalMSE=2.341510e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.676950e-01, Pen=6.229706e-04, EvalMSE=2.303974e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.509305e-01, Pen=5.929156e-04, EvalMSE=2.267759e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.368409e-01, Pen=5.704967e-04, EvalMSE=2.225821e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.237988e-01, Pen=5.549553e-04, EvalMSE=2.167081e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
