Epoch 0: TrainLoss=5.249527e+01, Pen=2.150091e+00, EvalMSE=6.732012e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.370333e+01, Pen=4.130217e-02, EvalMSE=7.942623e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.233275e+01, Pen=5.570005e-01, EvalMSE=8.239124e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=8.739635e+00, Pen=6.815210e-01, EvalMSE=7.477790e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.178363e+00, Pen=5.415770e-01, EvalMSE=6.975034e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.330546e+00, Pen=4.746156e-01, EvalMSE=6.438365e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.128671e+00, Pen=4.179536e-01, EvalMSE=5.990347e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.349307e+00, Pen=3.581268e-01, EvalMSE=5.673421e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.849257e+00, Pen=3.123542e-01, EvalMSE=5.457764e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.524021e+00, Pen=2.815810e-01, EvalMSE=5.308844e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.312208e+00, Pen=2.614006e-01, EvalMSE=5.195098e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.169627e+00, Pen=2.477067e-01, EvalMSE=5.105455e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.071037e+00, Pen=2.377818e-01, EvalMSE=5.037308e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.000408e+00, Pen=2.305791e-01, EvalMSE=4.984106e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.465343e-01, Pen=2.233893e-01, EvalMSE=4.917519e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=8.941766e-01, Pen=2.114971e-01, EvalMSE=4.745280e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=7.568940e-01, Pen=1.419597e-01, EvalMSE=3.610767e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=6.927033e-01, Pen=1.232903e-01, EvalMSE=3.198882e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=6.504174e-01, Pen=1.134920e-01, EvalMSE=3.058417e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=6.092212e-01, Pen=1.043248e-01, EvalMSE=2.945122e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=5.616810e-01, Pen=8.778072e-02, EvalMSE=2.816774e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=4.861968e-01, Pen=6.955704e-02, EvalMSE=2.707441e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=4.245283e-01, Pen=6.527177e-02, EvalMSE=2.520207e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.777703e-01, Pen=6.313343e-02, EvalMSE=2.335111e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.415712e-01, Pen=6.027293e-02, EvalMSE=2.189414e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.097634e-01, Pen=5.695267e-02, EvalMSE=2.057369e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.807239e-01, Pen=5.376159e-02, EvalMSE=1.929429e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.529361e-01, Pen=5.100927e-02, EvalMSE=1.810307e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.270782e-01, Pen=4.858576e-02, EvalMSE=1.694775e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.024080e-01, Pen=4.738882e-02, EvalMSE=1.576760e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.759480e-01, Pen=4.923272e-02, EvalMSE=1.478409e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.507821e-01, Pen=5.048526e-02, EvalMSE=1.420655e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.285610e-01, Pen=4.907221e-02, EvalMSE=1.431673e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.119743e-01, Pen=4.712106e-02, EvalMSE=1.462299e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=9.983641e-02, Pen=4.564580e-02, EvalMSE=1.465394e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 0: TrainLoss=5.437605e+01, Pen=3.356484e-01, EvalMSE=6.967401e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.204299e+01, Pen=2.900589e-02, EvalMSE=8.188265e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.264763e+01, Pen=1.449495e-01, EvalMSE=7.202642e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=9.701929e+00, Pen=2.353689e-01, EvalMSE=6.625630e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.942455e+00, Pen=2.809041e-01, EvalMSE=6.333034e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.725982e+00, Pen=2.968366e-01, EvalMSE=6.105381e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.851946e+00, Pen=2.852140e-01, EvalMSE=5.909300e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.888809e+00, Pen=2.333593e-01, EvalMSE=5.634285e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.670625e+00, Pen=1.673408e-01, EvalMSE=5.050003e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.687243e+00, Pen=1.273907e-01, EvalMSE=4.305183e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.025431e+00, Pen=1.336228e-01, EvalMSE=3.948304e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.556409e+00, Pen=1.550264e-01, EvalMSE=3.803386e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.247000e+00, Pen=1.721427e-01, EvalMSE=3.672343e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.049869e+00, Pen=1.920612e-01, EvalMSE=3.630040e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.112059e-01, Pen=2.042614e-01, EvalMSE=3.601232e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=8.073739e-01, Pen=2.113918e-01, EvalMSE=3.582054e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=7.259715e-01, Pen=2.154436e-01, EvalMSE=3.565154e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=6.602503e-01, Pen=2.171744e-01, EvalMSE=3.542776e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=6.054772e-01, Pen=2.158458e-01, EvalMSE=3.503316e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=5.574697e-01, Pen=2.093818e-01, EvalMSE=3.428270e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=5.119741e-01, Pen=1.944698e-01, EvalMSE=3.288632e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=4.643257e-01, Pen=1.658438e-01, EvalMSE=3.037424e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=4.098251e-01, Pen=1.177297e-01, EvalMSE=2.613788e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.387050e-01, Pen=5.930402e-02, EvalMSE=2.027326e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.704397e-01, Pen=3.976842e-02, EvalMSE=1.751307e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.220196e-01, Pen=3.546834e-02, EvalMSE=1.593816e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.871408e-01, Pen=3.390303e-02, EvalMSE=1.477981e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.618868e-01, Pen=3.322038e-02, EvalMSE=1.400685e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.431182e-01, Pen=3.285317e-02, EvalMSE=1.347007e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.286422e-01, Pen=3.262854e-02, EvalMSE=1.307332e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.171419e-01, Pen=3.248620e-02, EvalMSE=1.277299e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.077897e-01, Pen=3.239570e-02, EvalMSE=1.254795e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.000347e-01, Pen=3.234530e-02, EvalMSE=1.238588e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=9.349604e-02, Pen=3.233213e-02, EvalMSE=1.227655e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=8.786471e-02, Pen=3.235481e-02, EvalMSE=1.221238e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 0: TrainLoss=5.129692e+01, Pen=4.197379e-01, EvalMSE=7.106544e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.916392e+01, Pen=8.637034e-02, EvalMSE=8.966023e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.876164e+00, Pen=7.849789e-01, EvalMSE=8.591872e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.460738e+00, Pen=6.446171e-01, EvalMSE=7.739955e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.833583e+00, Pen=4.850999e-01, EvalMSE=7.018224e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.692542e+00, Pen=3.922753e-01, EvalMSE=6.472234e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.696910e+00, Pen=3.322588e-01, EvalMSE=6.063005e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.847772e+00, Pen=2.991412e-01, EvalMSE=5.746116e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.243459e+00, Pen=2.848624e-01, EvalMSE=5.482360e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.814056e+00, Pen=2.719538e-01, EvalMSE=5.300557e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.508248e+00, Pen=2.609519e-01, EvalMSE=5.182666e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.298221e+00, Pen=2.523198e-01, EvalMSE=5.097698e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.153515e+00, Pen=2.453287e-01, EvalMSE=5.034347e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.051530e+00, Pen=2.396269e-01, EvalMSE=4.984529e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.772577e-01, Pen=2.348264e-01, EvalMSE=4.941046e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=9.225076e-01, Pen=2.307638e-01, EvalMSE=4.903998e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=8.807842e-01, Pen=2.269733e-01, EvalMSE=4.870212e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.455687e-01, Pen=2.231748e-01, EvalMSE=4.829595e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.929784e-01, Pen=2.059250e-01, EvalMSE=4.551777e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=6.749460e-01, Pen=1.552856e-01, EvalMSE=3.411847e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=6.212340e-01, Pen=1.319434e-01, EvalMSE=3.217583e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=5.572454e-01, Pen=1.189917e-01, EvalMSE=3.319405e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=5.060918e-01, Pen=1.133530e-01, EvalMSE=3.311990e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=4.627863e-01, Pen=1.065811e-01, EvalMSE=3.217930e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=4.227314e-01, Pen=9.883547e-02, EvalMSE=3.088210e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.841296e-01, Pen=9.040626e-02, EvalMSE=2.930960e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.474917e-01, Pen=8.157993e-02, EvalMSE=2.764214e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.125906e-01, Pen=7.098489e-02, EvalMSE=2.582384e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.736547e-01, Pen=5.625914e-02, EvalMSE=2.358335e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.288626e-01, Pen=4.531343e-02, EvalMSE=2.091963e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.956295e-01, Pen=4.199577e-02, EvalMSE=1.915168e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.705798e-01, Pen=4.032584e-02, EvalMSE=1.800173e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.493908e-01, Pen=3.920583e-02, EvalMSE=1.708881e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.286086e-01, Pen=3.832645e-02, EvalMSE=1.611485e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.102514e-01, Pen=3.743134e-02, EvalMSE=1.514891e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 0: TrainLoss=4.401953e+01, Pen=1.362889e+00, EvalMSE=6.766662e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.797479e+01, Pen=7.422107e-02, EvalMSE=8.184138e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.011830e+01, Pen=6.679544e-01, EvalMSE=8.305062e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.388883e+00, Pen=6.579321e-01, EvalMSE=7.652832e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.448933e+00, Pen=4.214559e-01, EvalMSE=6.697025e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.070665e+00, Pen=3.345987e-01, EvalMSE=6.059363e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.110915e+00, Pen=2.869075e-01, EvalMSE=5.675576e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.451918e+00, Pen=2.583248e-01, EvalMSE=5.403495e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.015566e+00, Pen=2.382343e-01, EvalMSE=5.210258e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.732885e+00, Pen=2.239176e-01, EvalMSE=5.065460e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.546665e+00, Pen=2.113557e-01, EvalMSE=4.958710e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.415942e+00, Pen=2.011167e-01, EvalMSE=4.869490e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.320658e+00, Pen=1.931374e-01, EvalMSE=4.800962e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.247482e+00, Pen=1.860517e-01, EvalMSE=4.738074e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.190272e+00, Pen=1.798314e-01, EvalMSE=4.678733e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.144783e+00, Pen=1.736005e-01, EvalMSE=4.614536e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.105383e+00, Pen=1.661489e-01, EvalMSE=4.526553e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
