Epoch 500: TrainLoss=4.926751e+01, Pen=7.609224e-04, EvalMSE=6.444657e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.565207e+01, Pen=8.578959e-04, EvalMSE=5.977362e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.328539e+01, Pen=1.007317e-03, EvalMSE=5.440748e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.113203e+01, Pen=1.188728e-03, EvalMSE=5.002661e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=3.888036e+01, Pen=1.336789e-03, EvalMSE=4.553044e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.628910e+01, Pen=1.397167e-03, EvalMSE=4.059630e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.325014e+01, Pen=1.515743e-03, EvalMSE=3.556029e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.093869e+01, Pen=1.758652e-03, EvalMSE=2.981249e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.876466e+01, Pen=1.937150e-03, EvalMSE=2.373928e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.607132e+01, Pen=1.921111e-03, EvalMSE=1.910405e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.382240e+01, Pen=1.819905e-03, EvalMSE=1.614161e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.173238e+01, Pen=1.595365e-03, EvalMSE=1.431418e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.942599e+01, Pen=1.312009e-03, EvalMSE=1.403659e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.760005e+01, Pen=1.024690e-03, EvalMSE=1.606395e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.594600e+01, Pen=8.259623e-04, EvalMSE=1.848723e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.427931e+01, Pen=6.533942e-04, EvalMSE=2.028591e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.282040e+01, Pen=5.377894e-04, EvalMSE=2.330548e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.164535e+01, Pen=4.458690e-04, EvalMSE=2.570477e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.066620e+01, Pen=3.709902e-04, EvalMSE=2.791667e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=9.844559e+00, Pen=3.242498e-04, EvalMSE=2.969106e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=9.135934e+00, Pen=2.845703e-04, EvalMSE=3.119551e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=8.518896e+00, Pen=2.481527e-04, EvalMSE=3.245253e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=7.927420e+00, Pen=2.040152e-04, EvalMSE=3.288492e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=7.458432e+00, Pen=1.747107e-04, EvalMSE=3.455314e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=7.048744e+00, Pen=1.527633e-04, EvalMSE=3.637883e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=6.684591e+00, Pen=1.377638e-04, EvalMSE=3.812622e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=6.344723e+00, Pen=1.500431e-04, EvalMSE=3.851220e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=5.932303e+00, Pen=2.038244e-04, EvalMSE=3.807597e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=5.425171e+00, Pen=4.729705e-05, EvalMSE=3.899208e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=5.084585e+00, Pen=3.457626e-05, EvalMSE=3.831620e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.668747e+02, Pen=4.805642e-01, EvalMSE=6.813308e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.446295e+02, Pen=4.948060e-03, EvalMSE=1.043554e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=7.804442e+01, Pen=2.131665e-02, EvalMSE=1.062951e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.005150e+01, Pen=3.444495e-02, EvalMSE=8.701877e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.378573e+01, Pen=3.606396e-02, EvalMSE=7.608540e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.102401e+01, Pen=3.427027e-02, EvalMSE=6.949952e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.927743e+01, Pen=3.058475e-02, EvalMSE=6.569211e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.716188e+01, Pen=2.436724e-02, EvalMSE=6.305803e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.485409e+01, Pen=1.890561e-02, EvalMSE=6.068155e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
