Epoch 0: TrainLoss=4.612014e+01, Pen=2.391116e+00, EvalMSE=6.760197e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.691005e+01, Pen=5.347594e-02, EvalMSE=7.247685e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.317684e+00, Pen=1.571248e-01, EvalMSE=6.831376e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.546281e+00, Pen=2.373955e-01, EvalMSE=6.229563e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.004007e+00, Pen=2.818889e-01, EvalMSE=5.894547e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.042708e+00, Pen=2.952019e-01, EvalMSE=5.701665e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.260105e+00, Pen=2.830801e-01, EvalMSE=5.583185e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.662409e+00, Pen=2.754309e-01, EvalMSE=5.480087e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.282947e+00, Pen=2.810879e-01, EvalMSE=5.354205e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.002682e+00, Pen=2.892914e-01, EvalMSE=5.234212e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.801126e+00, Pen=2.774201e-01, EvalMSE=5.167626e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.647433e+00, Pen=2.642418e-01, EvalMSE=5.126442e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.527650e+00, Pen=2.535954e-01, EvalMSE=5.086435e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.422135e+00, Pen=2.389261e-01, EvalMSE=4.989581e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.330097e+00, Pen=2.325532e-01, EvalMSE=4.853776e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.261414e+00, Pen=2.308610e-01, EvalMSE=4.784456e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.206203e+00, Pen=2.288725e-01, EvalMSE=4.743971e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.160410e+00, Pen=2.271882e-01, EvalMSE=4.720455e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.121922e+00, Pen=2.258424e-01, EvalMSE=4.708500e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.089622e+00, Pen=2.243900e-01, EvalMSE=4.700876e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.062590e+00, Pen=2.221742e-01, EvalMSE=4.681274e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.035969e+00, Pen=2.157384e-01, EvalMSE=4.583326e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=8.629818e-01, Pen=1.409792e-01, EvalMSE=3.377178e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=8.102940e-01, Pen=1.405138e-01, EvalMSE=3.131057e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=7.646221e-01, Pen=1.368874e-01, EvalMSE=3.006574e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=7.203726e-01, Pen=1.316798e-01, EvalMSE=2.885258e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=6.748985e-01, Pen=1.230350e-01, EvalMSE=2.746678e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=6.256099e-01, Pen=1.073366e-01, EvalMSE=2.561333e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=5.261940e-01, Pen=4.707909e-02, EvalMSE=2.132386e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=3.822618e-01, Pen=4.064395e-02, EvalMSE=1.517058e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=3.074358e-01, Pen=4.441828e-02, EvalMSE=1.216052e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=2.631263e-01, Pen=4.288437e-02, EvalMSE=1.101337e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=2.277385e-01, Pen=4.001257e-02, EvalMSE=1.045082e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.984755e-01, Pen=3.784403e-02, EvalMSE=1.024905e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.746294e-01, Pen=3.640764e-02, EvalMSE=1.037695e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 0: TrainLoss=5.269907e+01, Pen=1.349485e+00, EvalMSE=6.578169e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.018045e+01, Pen=7.153208e-02, EvalMSE=7.992175e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.060353e+01, Pen=8.519070e-01, EvalMSE=8.040903e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=8.008587e+00, Pen=1.073232e+00, EvalMSE=7.473745e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
