Epoch 0: TrainLoss=1.465029e+02, Pen=1.769536e+00, EvalMSE=1.435227e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.543179e+01, Pen=1.608157e-02, EvalMSE=3.848892e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.361168e+01, Pen=2.615147e-02, EvalMSE=4.816393e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.702528e+01, Pen=2.126476e-02, EvalMSE=4.166887e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.994775e+01, Pen=1.824380e-02, EvalMSE=3.564593e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.325937e+01, Pen=1.497583e-02, EvalMSE=3.246630e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.671633e+01, Pen=1.124094e-02, EvalMSE=2.971926e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.056489e+01, Pen=4.519018e-03, EvalMSE=2.715771e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.532041e+01, Pen=1.526313e-03, EvalMSE=2.253929e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.105972e+01, Pen=1.190817e-03, EvalMSE=2.065177e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.767596e+01, Pen=8.248835e-04, EvalMSE=1.880862e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.502349e+01, Pen=5.592125e-04, EvalMSE=1.758161e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.291127e+01, Pen=3.780969e-04, EvalMSE=1.690544e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.124745e+01, Pen=2.052580e-04, EvalMSE=1.673228e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.929712e+01, Pen=1.175835e-04, EvalMSE=1.797791e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.813667e+01, Pen=7.373447e-05, EvalMSE=1.891840e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.723501e+01, Pen=4.511544e-05, EvalMSE=1.950853e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.650210e+01, Pen=2.682693e-05, EvalMSE=1.997012e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.584801e+01, Pen=1.607072e-05, EvalMSE=2.055446e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.511746e+01, Pen=1.026948e-05, EvalMSE=2.134776e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.457170e+01, Pen=6.288812e-06, EvalMSE=2.161907e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.413590e+01, Pen=3.692195e-06, EvalMSE=2.207607e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.351689e+01, Pen=1.202007e-06, EvalMSE=2.394252e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.253978e+01, Pen=7.937273e-08, EvalMSE=2.571914e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.199417e+01, Pen=2.010742e-08, EvalMSE=2.451802e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.147012e+01, Pen=1.549918e-08, EvalMSE=2.489963e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
