Epoch 0: TrainLoss=2.241879e+02, Pen=2.605163e+00, EvalMSE=2.793768e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.424613e+02, Pen=4.465277e-06, EvalMSE=2.686810e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.125204e+02, Pen=3.090165e-05, EvalMSE=4.796001e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.358507e+01, Pen=1.247461e-02, EvalMSE=5.687027e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.341989e+01, Pen=1.862385e-02, EvalMSE=3.225328e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 500: TrainLoss=2.099563e+01, Pen=1.186683e-02, EvalMSE=2.389412e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.607092e+01, Pen=1.203026e-02, EvalMSE=1.958451e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.256447e+01, Pen=7.022849e-04, EvalMSE=1.665066e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 800: TrainLoss=9.633913e+00, Pen=6.459123e-06, EvalMSE=1.671301e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 900: TrainLoss=7.957000e+00, Pen=1.099500e-08, EvalMSE=1.569047e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=6.988397e+00, Pen=4.753172e-10, EvalMSE=1.466311e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=6.299011e+00, Pen=6.058881e-10, EvalMSE=1.410862e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=5.790858e+00, Pen=4.349107e-10, EvalMSE=1.315586e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.413838e+00, Pen=3.834063e-10, EvalMSE=1.237295e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=5.123826e+00, Pen=5.610726e-10, EvalMSE=1.141074e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=4.919200e+00, Pen=8.980757e-10, EvalMSE=1.034723e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=4.760515e+00, Pen=1.224858e-09, EvalMSE=9.534871e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=4.629461e+00, Pen=1.382472e-09, EvalMSE=8.923617e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=4.514053e+00, Pen=1.345653e-09, EvalMSE=8.413379e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=4.406287e+00, Pen=1.256490e-09, EvalMSE=7.987188e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=4.301827e+00, Pen=1.206591e-09, EvalMSE=7.695791e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=4.198837e+00, Pen=1.241464e-09, EvalMSE=7.501260e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=4.096685e+00, Pen=1.481222e-09, EvalMSE=7.235127e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.989532e+00, Pen=1.978779e-09, EvalMSE=6.999428e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.869664e+00, Pen=2.257984e-09, EvalMSE=6.923662e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.744061e+00, Pen=2.135757e-09, EvalMSE=7.020286e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.626145e+00, Pen=1.976728e-09, EvalMSE=7.040567e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.518541e+00, Pen=1.827314e-09, EvalMSE=6.913420e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=3.409528e+00, Pen=1.551704e-09, EvalMSE=6.835771e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=3.299338e+00, Pen=1.206633e-09, EvalMSE=6.723620e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=3.041551e+00, Pen=9.595602e-10, EvalMSE=6.596133e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=2.934024e+00, Pen=6.288896e-10, EvalMSE=6.867410e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=2.851272e+00, Pen=4.544107e-10, EvalMSE=7.322106e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=2.781119e+00, Pen=3.449391e-10, EvalMSE=7.800837e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=2.716465e+00, Pen=2.948713e-10, EvalMSE=8.246100e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 0: TrainLoss=1.883883e+02, Pen=6.985500e-01, EvalMSE=2.771825e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.234930e+02, Pen=7.095063e-07, EvalMSE=2.512134e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.744814e+01, Pen=6.228588e-05, EvalMSE=3.977061e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.105823e+01, Pen=1.601241e-03, EvalMSE=4.206662e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.219514e+01, Pen=6.587782e-04, EvalMSE=3.103077e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.994526e+01, Pen=1.390080e-11, EvalMSE=3.305037e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.387161e+01, Pen=2.042968e-11, EvalMSE=2.266108e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.118960e+01, Pen=5.328553e-11, EvalMSE=1.488908e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 800: TrainLoss=9.471319e+00, Pen=1.258798e-10, EvalMSE=1.170946e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 900: TrainLoss=8.351149e+00, Pen=2.198169e-10, EvalMSE=1.000056e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=7.459590e+00, Pen=1.618650e-09, EvalMSE=8.688384e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=6.828897e+00, Pen=8.984139e-09, EvalMSE=7.360436e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=6.338226e+00, Pen=3.063799e-08, EvalMSE=6.377174e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.933248e+00, Pen=8.591851e-08, EvalMSE=5.777361e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=5.632617e+00, Pen=1.938380e-07, EvalMSE=5.420511e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=5.393616e+00, Pen=3.476502e-07, EvalMSE=5.317756e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=5.191927e+00, Pen=5.209807e-07, EvalMSE=5.439424e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=5.019429e+00, Pen=6.766780e-07, EvalMSE=5.717552e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=4.872983e+00, Pen=7.867918e-07, EvalMSE=6.079340e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=4.744023e+00, Pen=8.531991e-07, EvalMSE=6.510628e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=4.627563e+00, Pen=8.999792e-07, EvalMSE=6.990893e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=4.519768e+00, Pen=9.155933e-07, EvalMSE=7.475348e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=4.416948e+00, Pen=9.009649e-07, EvalMSE=7.970674e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=4.312800e+00, Pen=8.676082e-07, EvalMSE=8.495477e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=4.181587e+00, Pen=9.458833e-07, EvalMSE=9.181120e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=4.050238e+00, Pen=1.125890e-06, EvalMSE=9.646144e-05 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.926961e+00, Pen=1.123054e-06, EvalMSE=1.027489e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.810031e+00, Pen=1.000642e-06, EvalMSE=1.115213e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=3.696813e+00, Pen=8.678500e-07, EvalMSE=1.213016e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=3.591746e+00, Pen=7.738494e-07, EvalMSE=1.302434e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=3.502060e+00, Pen=6.757382e-07, EvalMSE=1.389329e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=3.422318e+00, Pen=5.614572e-07, EvalMSE=1.477116e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=3.347768e+00, Pen=4.537000e-07, EvalMSE=1.562830e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=3.277199e+00, Pen=3.743059e-07, EvalMSE=1.619166e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=3.208920e+00, Pen=3.127958e-07, EvalMSE=1.636070e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
