Epoch 0: TrainLoss=2.583729e+02, Pen=2.135130e+00, EvalMSE=6.728201e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.527891e+02, Pen=9.120351e-05, EvalMSE=7.096439e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.028773e+01, Pen=9.275766e-03, EvalMSE=6.999425e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.031855e+01, Pen=6.798535e-02, EvalMSE=5.369445e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.781307e+01, Pen=4.164546e-02, EvalMSE=4.464664e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.761492e+01, Pen=2.845771e-02, EvalMSE=3.888993e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.387363e+01, Pen=1.956259e-02, EvalMSE=3.214012e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.210500e+01, Pen=1.097358e-02, EvalMSE=2.325573e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=9.912410e+00, Pen=2.620005e-03, EvalMSE=1.557135e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=7.094852e+00, Pen=9.691800e-04, EvalMSE=2.106694e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.356019e+00, Pen=6.920639e-04, EvalMSE=1.795084e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.750428e+00, Pen=9.040561e-04, EvalMSE=1.317654e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.455752e+00, Pen=1.080758e-03, EvalMSE=1.070276e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.264803e+00, Pen=1.292431e-03, EvalMSE=9.069189e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.128496e+00, Pen=1.461940e-03, EvalMSE=8.060127e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.023441e+00, Pen=1.474508e-03, EvalMSE=7.522970e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=9.312045e-01, Pen=1.255162e-03, EvalMSE=7.233501e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.448800e-01, Pen=1.104007e-03, EvalMSE=7.248482e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.722938e-01, Pen=1.274384e-03, EvalMSE=8.282159e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=7.182626e-01, Pen=1.495214e-03, EvalMSE=1.024092e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=6.760160e-01, Pen=1.680380e-03, EvalMSE=1.232809e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.420945e-01, Pen=1.878656e-03, EvalMSE=1.433266e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=6.139429e-01, Pen=2.085251e-03, EvalMSE=1.613555e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=5.895811e-01, Pen=2.292719e-03, EvalMSE=1.772556e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=5.675145e-01, Pen=2.499207e-03, EvalMSE=1.915839e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
