Epoch 0: TrainLoss=1.451165e+02, Pen=5.041470e-01, EvalMSE=1.290650e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.777911e+01, Pen=7.162771e-05, EvalMSE=2.123385e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.161491e+01, Pen=9.080520e-04, EvalMSE=1.990308e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.251770e+01, Pen=2.893672e-04, EvalMSE=2.708478e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.456730e+01, Pen=4.573016e-09, EvalMSE=2.925521e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.847712e+01, Pen=6.263565e-11, EvalMSE=1.852981e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.625443e+01, Pen=8.572521e-13, EvalMSE=1.222857e-04 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.461984e+01, Pen=7.083838e-14, EvalMSE=9.180890e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.350145e+01, Pen=2.115163e-14, EvalMSE=7.363291e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.279855e+01, Pen=3.335447e-14, EvalMSE=6.030717e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.222966e+01, Pen=9.045909e-14, EvalMSE=5.111056e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.175026e+01, Pen=3.171321e-13, EvalMSE=4.595046e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.134686e+01, Pen=7.395348e-13, EvalMSE=4.229642e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.100629e+01, Pen=1.391728e-12, EvalMSE=3.970814e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.070742e+01, Pen=1.967527e-12, EvalMSE=3.805792e-05 (h1=2, h_n=0.100125, lr=0.005, loss=mse)
