mixture,n,h1,h_n,grid_mse,grid_rmse,grid_max_abs_err,grid_mean_abs_err,val_avg_nll
2.0,49,1.150000000000001,0.18414737687585037,0.0005755603070241689,0.023990837980866132,0.26429404931430167,0.010799019843419617,6.664787228813133
2.0,49,1.257245200261008,0.20132035279810226,0.0004847477651151312,0.022016988102715847,0.22948829926926656,0.010181413348667663,6.058055159549367
2.0,49,1.3734091310423555,0.21992146857286138,0.00040983947051901996,0.020244492350242324,0.19804525376429408,0.009584195740461559,5.573823948731785
2.0,49,1.4991450951099068,0.24005533636590112,0.000347947528062492,0.01865335165761081,0.17003135797790872,0.0090096784706752,5.18785132623594
2.0,49,1.6351478914282995,0.26183321305269464,0.0002967021003215752,0.017225042824956203,0.14534558495503036,0.008463025700648594,4.880338744689231
2.0,49,1.7821560542147592,0.2853733587539682,0.00025422580355091153,0.015944459964229316,0.12378998733404808,0.007950087243935967,4.63519928253942
2.0,49,1.94095419178203,0.3108014113503015,0.0002190772641601883,0.014801258870791643,0.1051221263192064,0.007472658616743695,4.439373341271909
2.0,49,2.1123754286970224,0.33825077754048366,0.0001901567666791652,0.013789734104730417,0.08909060201029308,0.007032606119155643,4.282293375912867
2.0,49,2.2973039548746566,0.36786304102320394,0.00016659253891452148,0.01290707321256533,0.07545538394282308,0.0066409502874009985,4.155558509024282
2.0,49,2.496677685320418,0.39978838839671677,0.00014764019190749043,0.012150728040224192,0.06399473763302711,0.006299013598120022,4.052724731633742
2.0,49,2.7114910343313126,0.4341860533865192,0.00013262142983874305,0.011516137800440869,0.05836105095597059,0.006006533230024533,3.9690555636990177
2.0,49,2.9427978080621444,0.47122478002664836,0.00012090809313157177,0.01099582162148749,0.05612597603594405,0.0057593610944939,3.901176603914815
2.0,49,3.1917142194635466,0.5110833054361424,0.00011193785553748105,0.010580068786991938,0.054617592888934884,0.0055527223420474454,3.8466887253027218
2.0,49,3.459422029698712,0.5539508628483021,0.00010523891478755159,0.0102586019899181,0.054235573921533296,0.0053913711526639655,3.8038171995256587
2.0,49,3.747171820248661,0.6000277055668659,0.0001004448604560208,0.010022218340069267,0.05457413981828012,0.005289305190970607,3.7711457862126667
2.0,49,4.056286400019716,0.6495256525398403,9.729217855685743e-05,0.009863679767554166,0.05549897757027856,0.00523549157501818,3.747455885334011
2.0,49,4.388164351873201,0.7026686562587525,9.560342501377899e-05,0.009777700394969105,0.05683256047048437,0.005221491763133691,3.731666703493773
2.0,49,4.744283723104587,0.7596933937082627,9.526374982175236e-05,0.009760315047259098,0.05828776275411579,0.005245245061420468,3.722849182199985
2.0,49,5.12620586450917,0.820849881108664,9.619739350548762e-05,0.009808026993513406,0.05988798881071889,0.005304723623696094,3.720270222092344
2.0,49,5.535579422781971,0.8864021132115069,9.834752228322524e-05,0.009917031929122001,0.06151439150486341,0.005402663512821289,3.7234235961220707
2.0,49,5.9741444911130195,0.9566287279267596,0.00010166034855492632,0.010082675664471526,0.06317869796890746,0.005534235503197547,3.7320218705490396
2.0,49,6.443736922953225,1.031823697078173,0.00010607364989720818,0.010299206275107232,0.06493061782004285,0.005694004011970888,3.745949344064231
2.0,49,6.946292814043166,1.1122970441022755,0.00011150975240516825,0.010559817820642942,0.06689107640719288,0.005877867150986429,3.765193687562633
2.0,49,7.483853157914672,1.1983755895252477,0.00011787290567520817,0.01085692892466411,0.06889516549958183,0.006080287514925713,3.789776744729712
2.0,49,8.058568680195929,1.2904037250712717,0.0001250505348304928,0.011182599645453324,0.0708853654976013,0.006298033813960097,3.81969872270624
2.0,49,8.672704857171905,1.388744217275349,0.0001329173921450748,0.011528980533641073,0.07283837459838982,0.006525686799989353,3.8549031782491547
2.0,49,9.32864712417655,1.4937790414935264,0.00014134143257234688,0.011888710298949457,0.07473253800942849,0.006760352167620593,3.8952652412411575
2.0,49,10.028906279517884,1.6059102472234439,0.00015019033399637932,0.012255216603405235,0.07656438339315486,0.006996699494494949,3.940600872845858
2.0,49,10.77612408976554,1.725560855668681,0.00015933781680114455,0.012622908412927052,0.07831770138800545,0.007232236407633264,3.990690344623983
2.0,49,11.573079102358838,1.8531757905009556,0.00016866912079687677,0.012987267641689563,0.07996476717814002,0.007463636473264534,4.04530638831015
2.0,49,12.422692671625274,1.9892228427953407,0.0001780851081014209,0.013344853243907214,0.08150438038303948,0.007688163110588718,4.104238056901988
2.0,49,13.328035204432394,2.1341936711349665,0.00018750454100861165,0.013693229750815241,0.08293927132341535,0.00790099837884294,4.167304714913817
2.0,49,14.292332631831053,2.288604837903309,0.00019686425713860334,0.014030832375116003,0.08427483364033778,0.008101578345215632,4.234358847722727
2.0,49,15.318973113185024,2.452998882804086,0.00020611729657879184,0.01435678573284396,0.0855178805108744,0.008287083850469964,4.305279769025265
2.0,49,16.411513979421127,2.6279454346710835,0.00021522945737917758,0.014670700643772185,0.08667559055063921,0.008455110230242034,4.379961995217489
2.0,49,17.57368892217507,2.8140423626528053,0.00022417509453174668,0.014972477902195972,0.08775474002606035,0.008606042393501252,4.458302163541248
2.0,49,18.809415435750953,3.0119169678797086,0.00023293307844127553,0.015262145276509313,0.08876124867409001,0.008739945418726906,4.540187489021329
2.0,49,20.122802518957343,3.2222272167449963,0.00024148365458528823,0.015539744353923208,0.08970000922972317,0.008856029316583936,4.625487513832848
2.0,49,21.518158644029945,3.445663016953492,0.00024980658758398536,0.01580527087980416,0.09057493376161665,0.008954203217887065,4.714049746258456
2.0,49,23.000000000000004,3.6829475375170047,0.0002578805835376565,0.016058660701866033,0.09139506297030602,0.0090356082878724,4.8056989354339334
