 bbn file,mixture,label,h1_file,best_epoch,best_eval_mse,h1,h_n,lr,loss
mixture2_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_12p00.txt,2,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,3400,4.033297e-05,12.0,0.776215,0.005,mse
mixture2_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_16p00.txt,2,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,3400,6.331665e-05,16.0,0.925304,0.005,mse
mixture3_MLP_20_sigmoid_outReLU_h1_2p00.txt,3,MLP_20_sigmoid_outReLU,2.0,1300,0.0001148333,2.0,0.0895323,0.005,mse
mixture3_MLP_20_sigmoid_outReLU_h1_7p00.txt,3,MLP_20_sigmoid_outReLU,7.0,3100,3.224215e-05,7.0,0.313363,0.005,mse
mixture3_MLP_20_sigmoid_outReLU_h1_12p00.txt,3,MLP_20_sigmoid_outReLU,12.0,3300,9.685654e-06,12.0,0.600751,0.005,mse
mixture3_MLP_20_sigmoid_outReLU_h1_16p00.txt,3,MLP_20_sigmoid_outReLU,16.0,2800,1.752606e-05,16.0,0.801002,0.005,mse
mixture3_MLP_20_sigmoid_outSigmoid_Aauto_h1_2p00.txt,3,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0,0.0001235296,2.0,0.0895323,0.005,mse
mixture3_MLP_20_sigmoid_outSigmoid_Aauto_h1_7p00.txt,3,MLP_20_sigmoid_outSigmoid_Aauto,7.0,3400,2.468175e-05,7.0,0.313363,0.005,mse
mixture3_MLP_20_sigmoid_outSigmoid_Aauto_h1_12p00.txt,3,MLP_20_sigmoid_outSigmoid_Aauto,12.0,3400,1.342155e-05,12.0,0.600751,0.005,mse
mixture3_MLP_20_sigmoid_outSigmoid_Aauto_h1_16p00.txt,3,MLP_20_sigmoid_outSigmoid_Aauto,16.0,3400,1.701127e-05,16.0,0.801002,0.005,mse
mixture3_MLP_30-20_sigmoid_outReLU_h1_2p00.txt,3,MLP_30-20_sigmoid_outReLU,2.0,1600,3.986526e-05,2.0,0.0895323,0.005,mse
mixture3_MLP_30-20_sigmoid_outReLU_h1_7p00.txt,3,MLP_30-20_sigmoid_outReLU,7.0,3400,1.138794e-05,7.0,0.350438,0.005,mse
mixture3_MLP_30-20_sigmoid_outReLU_h1_12p00.txt,3,MLP_30-20_sigmoid_outReLU,12.0,3400,8.836556e-06,12.0,0.600751,0.005,mse
mixture3_MLP_30-20_sigmoid_outReLU_h1_16p00.txt,3,MLP_30-20_sigmoid_outReLU,16.0,3400,1.467161e-05,16.0,0.716258,0.005,mse
mixture3_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_2p00.txt,3,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,1600,2.978425e-05,2.0,0.0895323,0.005,mse
mixture3_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_7p00.txt,3,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,2300,1.123956e-05,7.0,0.350438,0.005,mse
mixture3_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_12p00.txt,3,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,3400,9.329262e-06,12.0,0.600751,0.005,mse
mixture3_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_16p00.txt,3,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,3400,1.490562e-05,16.0,0.716258,0.005,mse
