mixture,seed,h1,epochs,lambda_boundary,val_nll,boundary_ring_mean,shell_mean_unnorm
1.0,0.0,7.0,600.0,0.0,3.5049195289611816,0.007609222549945116,0.1460646539926529
1.0,0.0,7.0,600.0,0.001,3.4835288524627686,0.006265043281018734,0.08811888098716736
1.0,0.0,7.0,600.0,0.01,3.310471773147583,0.002550390549004078,0.014033205807209015
1.0,1.0,7.0,600.0,0.0,3.3964152336120605,0.008365683257579803,0.11750361323356628
1.0,1.0,7.0,600.0,0.001,3.440190076828003,0.008740364573895931,0.1397184580564499
1.0,1.0,7.0,600.0,0.01,3.28424072265625,0.0060468935407698154,0.09831205010414124
2.0,0.0,7.0,600.0,0.0,4.075436592102051,0.007237417623400688,0.15045885741710663
2.0,0.0,7.0,600.0,0.001,4.095034122467041,0.007148066535592079,0.1280512511730194
2.0,0.0,7.0,600.0,0.01,3.741283655166626,0.004986757878214121,0.07057780027389526
2.0,1.0,7.0,600.0,0.0,3.982954740524292,0.006739620119333267,0.12165606021881104
2.0,1.0,7.0,600.0,0.001,4.121209621429443,0.0075368755497038364,0.16691704094409943
2.0,1.0,7.0,600.0,0.01,4.104764461517334,0.006340681575238705,0.12629063427448273
3.0,0.0,12.0,600.0,0.0,4.038936614990234,0.0021928464993834496,0.02924763783812523
3.0,0.0,12.0,600.0,0.001,4.0361833572387695,0.0020772393327206373,0.019962184131145477
3.0,0.0,12.0,600.0,0.01,4.060316562652588,0.0023656494449824095,0.03912748396396637
3.0,1.0,12.0,600.0,0.0,4.003469467163086,0.0027146628126502037,0.066422238945961
3.0,1.0,12.0,600.0,0.001,4.0011820793151855,0.002553025260567665,0.06393064558506012
3.0,1.0,12.0,600.0,0.01,4.013243675231934,0.002670029643923044,0.07919701188802719
