file,mixture,label,h1_file,epoch,train_loss,penalty,eval_mse,h1,h_n,lr,loss
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3100,0.01890954,,0.0002100182,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3200,0.01743228,,0.0002085173,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3300,0.01612329,,0.0002073006,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3400,0.01494687,,0.0002063076,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,0,16.83745,,0.0006791136,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,100,5.523895,,0.0006878215,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,200,2.481036,,0.0007158435,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,300,1.519325,,0.0006323885,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,400,0.9480411,,0.0005676184,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,500,0.604116,,0.0005249013,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,600,0.4277869,,0.0004928264,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,700,0.334158,,0.0004648525,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,800,0.2798127,,0.0004369443,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,900,0.242816,,0.0004108547,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1000,0.2134484,,0.000386265,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1100,0.1859579,,0.0003589161,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1200,0.1575005,,0.0003310532,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1300,0.1286425,,0.0003091736,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1400,0.1047211,,0.0002894422,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1500,0.08619311,,0.000271823,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1600,0.07086808,,0.0002572074,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1700,0.05840223,,0.0002457181,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1800,0.04857314,,0.0002364539,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1900,0.04073172,,0.0002290205,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2000,0.03443477,,0.0002231407,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2100,0.02937164,,0.0002185812,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2200,0.02530373,,0.0002151321,12.0,1.20605,0.005,mse
