mixture,architecture,h1,lambda,mean_val_nll,std_val_nll,n_runs
2,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.858533811569214,0.0633972278733632,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.7544549465179444,0.04954036480493802,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.7292346239089964,0.019613826828251635,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.7479490518569945,0.03444559683168298,10
2,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.0,3.799222993850708,0.015717929370955484,10
2,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.01,3.8006426334381103,0.008016911526887186,10
2,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.1,3.8015769004821776,0.012904554164815295,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.0,4.604693841934204,0.17394839545041485,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.01,4.685020208358765,0.09387700042362919,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.1,4.688816261291504,0.22594030700935358,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.0,3.6828145742416383,0.02595331783980371,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.01,3.6896611213684083,0.014160001233399253,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.6837359189987184,0.017722036746504972,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.742540168762207,0.006421988362103003,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.7423774719238283,0.00605299538615972,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.741641402244568,0.004050944799046644,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.0,3.8165962934494018,0.0023679262590637017,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.01,3.815965270996094,0.00261504396390028,10
2,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.1,3.8149582147598267,0.0017554581795831714,10
2,MLP_30-20_sigmoid_outReLU,2.0,0.0,4.585438585281372,0.07014780814546764,10
2,MLP_30-20_sigmoid_outReLU,2.0,0.01,4.689509439468384,0.11854520314280288,10
2,MLP_30-20_sigmoid_outReLU,2.0,0.1,4.60111813545227,0.09255160433390391,10
2,MLP_30-20_sigmoid_outReLU,7.0,0.0,3.6912004947662354,0.016202260591192053,10
2,MLP_30-20_sigmoid_outReLU,7.0,0.01,3.6846898555755616,0.015440729217652742,10
2,MLP_30-20_sigmoid_outReLU,7.0,0.1,3.6887733697891236,0.015865610239073766,10
2,MLP_30-20_sigmoid_outReLU,12.0,0.0,3.739737057685852,0.004418124801143903,10
2,MLP_30-20_sigmoid_outReLU,12.0,0.01,3.7396015405654905,0.0066896210245903295,10
2,MLP_30-20_sigmoid_outReLU,12.0,0.1,3.7381282806396485,0.0039160177750423445,10
2,MLP_30-20_sigmoid_outReLU,16.0,0.0,3.8161670923233033,0.003291012620478077,10
2,MLP_30-20_sigmoid_outReLU,16.0,0.01,3.8163729667663575,0.002192951988404124,10
2,MLP_30-20_sigmoid_outReLU,16.0,0.1,3.816171383857727,0.0022027814716231377,10
2,MLP_20_sigmoid_outReLU,2.0,0.0,6.021601867675781,0.28957610596340105,10
2,MLP_20_sigmoid_outReLU,2.0,0.01,6.00169734954834,0.41366498749606617,10
2,MLP_20_sigmoid_outReLU,2.0,0.1,6.1309582710266115,0.3553865039105184,10
2,MLP_20_sigmoid_outReLU,7.0,0.0,3.877276802062988,0.0836495117541966,10
2,MLP_20_sigmoid_outReLU,7.0,0.01,3.8618217945098876,0.04661125440128279,10
2,MLP_20_sigmoid_outReLU,7.0,0.1,3.8453957080841064,0.053222117957589916,10
2,MLP_20_sigmoid_outReLU,12.0,0.0,3.743295407295227,0.02370275162705617,10
2,MLP_20_sigmoid_outReLU,12.0,0.01,3.738919186592102,0.03363933042189805,10
2,MLP_20_sigmoid_outReLU,12.0,0.1,3.7240710973739626,0.022967120072329858,10
2,MLP_20_sigmoid_outReLU,16.0,0.0,3.7971944332122805,0.010692829512472506,10
2,MLP_20_sigmoid_outReLU,16.0,0.01,3.7974007606506346,0.011513800381331407,10
2,MLP_20_sigmoid_outReLU,16.0,0.1,3.7999020338058473,0.012271096756293932,10
3,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.0,5.310375165939331,0.16589247502721224,10
3,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.01,5.353631210327149,0.24734043741416345,10
3,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.1,5.4592643737792965,0.18445067149602679,10
3,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.0,4.076459980010986,0.03533220876673625,10
3,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.01,4.055893898010254,0.023041341668772728,10
3,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.1,4.0510951519012455,0.016082967928245005,10
