mixture,seed,n_train,h1,h_n,y_min,y_med,y_max,log10_range
3.0,0.0,40.0,12.0,1.9215378456610455,0.0033996898078162098,0.01465975840276194,0.019144342423965288,0.750601160404929
3.0,1.0,40.0,12.0,1.9215378456610455,0.005654477774217283,0.014094674425689874,0.019268880506242994,0.5324639821662212
3.0,2.0,40.0,12.0,1.9215378456610455,0.0062652389249724955,0.01254969544037532,0.017454108936381284,0.44496004473058015
3.0,0.0,80.0,12.0,1.3501054811112287,0.0013877724003055422,0.016541812687934372,0.022610478847894577,1.2119915138996626
3.0,1.0,80.0,12.0,1.3501054811112287,0.0008418339769759079,0.01567033889448237,0.021983304372087835,1.4168665228366741
3.0,2.0,80.0,12.0,1.3501054811112287,0.0047827225355775,0.01444474926675025,0.021833949995918474,0.6594571248675132
3.0,0.0,160.0,12.0,0.951661902861773,0.0013026298727409217,0.017941402030204404,0.029836662483851552,1.35992920805383
3.0,1.0,160.0,12.0,0.951661902861773,0.0009462535269450812,0.01998442085580323,0.02879109151266481,1.4832506186881804
3.0,2.0,160.0,12.0,0.951661902861773,0.0012608767153412988,0.019645613409166648,0.036786686509056976,1.4650180466755942
3.0,0.0,320.0,12.0,0.6718710131470252,0.0009431504105540297,0.018729759295260585,0.027454079480381026,1.464025928514031
3.0,1.0,320.0,12.0,0.6718710131470252,0.00022220313020781737,0.021420532972753523,0.0375064353092377,2.2273556172305486
3.0,2.0,320.0,12.0,0.6718710131470252,6.313744042866115e-05,0.02038317698254484,0.03366282369976588,2.726863570834517
3.0,0.0,640.0,12.0,0.4747126632775413,0.0001299606385444217,0.020770028900972532,0.04256575477379867,2.5152485021576036
3.0,1.0,640.0,12.0,0.4747126632775413,1.4635692716594774e-05,0.021889975819805778,0.03687716927896776,3.401344294180104
3.0,2.0,640.0,12.0,0.4747126632775413,3.3632891193093754e-05,0.021557678119379642,0.04754025440831348,3.150297299204187
